account_id,customer_id,account_type,balance,currency,branch_code,status,opened_date,created_at,updated_at
20001,1583,Savings,84300.43,INR,BR003,ACTIVE,2022-05-28,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20002,2731,Savings,92847.80,INR,BR004,ACTIVE,2020-06-30,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20003,3548,Savings,19209.66,INR,BR004,ACTIVE,2022-04-09,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20004,1982,Current,428800.23,INR,BR004,ACTIVE,2024-06-20,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20005,2975,Savings,264722.64,INR,BR004,ACTIVE,2023-02-06,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20006,1550,Savings,164551.85,INR,BR002,ACTIVE,2024-08-03,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20007,3165,Savings,145498.92,INR,BR002,ACTIVE,2024-11-14,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20008,4822,Savings,272803.45,INR,BR001,ACTIVE,2023-03-31,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20009,2388,Savings,164015.73,INR,BR004,ACTIVE,2024-03-23,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20010,2938,Savings,431995.27,INR,BR003,ACTIVE,2022-08-19,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20011,1204,Savings,106267.76,INR,BR001,ACTIVE,2020-12-13,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20012,1351,Savings,441268.59,INR,BR001,ACTIVE,2021-08-15,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20013,1319,Savings,332382.13,INR,BR002,ACTIVE,2022-05-23,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20014,4431,Savings,478357.98,INR,BR001,ACTIVE,2022-05-25,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20015,4589,Savings,8538.51,INR,BR003,ACTIVE,2024-09-16,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20016,3988,Savings,30488.69,INR,BR004,ACTIVE,2023-02-11,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20017,3537,Savings,250946.40,INR,BR001,ACTIVE,2020-12-13,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20018,2693,Current,456277.04,INR,BR003,ACTIVE,2022-12-26,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20019,1107,Savings,365666.68,INR,BR002,ACTIVE,2020-02-14,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20020,4812,Savings,311445.83,INR,BR002,ACTIVE,2022-10-14,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20021,3702,Savings,16769.48,INR,BR004,ACTIVE,2021-07-24,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20022,4898,Savings,177727.73,INR,BR001,ACTIVE,2024-07-29,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20023,3220,Savings,173580.59,INR,BR003,ACTIVE,2024-04-30,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20024,4730,Savings,271500.76,INR,BR002,ACTIVE,2024-03-03,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20025,3567,Savings,129656.06,INR,BR003,ACTIVE,2020-10-22,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20026,2879,Current,134310.70,INR,BR002,ACTIVE,2022-05-09,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20027,4937,Current,310809.54,INR,BR002,ACTIVE,2020-07-24,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20028,1958,Savings,472339.20,INR,BR004,ACTIVE,2021-01-20,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20029,3861,Savings,330429.37,INR,BR003,ACTIVE,2021-02-11,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20030,3576,Savings,334396.93,INR,BR003,ACTIVE,2022-07-04,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20031,3368,Savings,493121.19,INR,BR003,ACTIVE,2025-01-07,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20032,2061,Savings,77585.61,INR,BR002,ACTIVE,2022-01-20,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20033,3547,Savings,17883.55,INR,BR004,ACTIVE,2024-06-20,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20034,4737,Savings,373011.46,INR,BR003,ACTIVE,2021-07-19,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20035,3313,Current,219954.93,INR,BR001,ACTIVE,2022-12-06,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20036,4767,Savings,214982.85,INR,BR003,ACTIVE,2022-08-17,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20037,2692,Savings,113426.38,INR,BR002,ACTIVE,2020-01-21,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
20038,2673,Savings,253924.66,INR,BR004,ACTIVE,2024-10-02,2026-09-10 11:36:56.634052,2026-09-10 11:36:56.634052
