txn_id,account_id,txn_type,amount,txn_timestamp,channel,status,created_at
30001,22434,Debit,34943.92,2024-01-01 00:03:38,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30002,20396,Debit,18652.79,2024-01-01 00:46:50,UPI,SUCCESS,2026-09-10 11:37:02.169481
30003,20540,Credit,50064.80,2024-01-01 00:52:17,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30004,22668,Debit,34204.13,2024-01-01 01:24:23,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30005,21171,Debit,3968.60,2024-01-01 01:53:38,POS,SUCCESS,2026-09-10 11:37:02.169481
30006,21308,Credit,72578.05,2024-01-01 03:52:37,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30007,23676,Credit,73285.03,2024-01-01 04:02:59,POS,SUCCESS,2026-09-10 11:37:02.169481
30008,21531,Debit,61921.26,2024-01-01 04:50:23,ATM,SUCCESS,2026-09-10 11:37:02.169481
30009,21498,Debit,84097.98,2024-01-01 05:20:07,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30010,23814,Debit,20397.84,2024-01-01 05:35:57,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30011,22758,Debit,28691.54,2024-01-01 05:40:27,ATM,SUCCESS,2026-09-10 11:37:02.169481
30012,22907,Debit,45919.71,2024-01-01 07:14:38,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30013,20885,Credit,6111.50,2024-01-01 07:20:52,ATM,SUCCESS,2026-09-10 11:37:02.169481
30014,20503,Debit,88366.22,2024-01-01 08:13:20,NEFT,PENDING,2026-09-10 11:37:02.169481
30015,22985,Credit,49113.80,2024-01-01 08:58:37,UPI,SUCCESS,2026-09-10 11:37:02.169481
30016,24146,Debit,32533.86,2024-01-01 09:57:59,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30017,23594,Credit,47848.55,2024-01-01 10:00:14,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30018,21994,Debit,32580.47,2024-01-01 10:22:18,UPI,SUCCESS,2026-09-10 11:37:02.169481
30019,20225,Credit,28697.72,2024-01-01 10:27:12,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30020,22130,Credit,44857.04,2024-01-01 10:45:29,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30021,22230,Credit,48242.28,2024-01-01 11:14:58,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30022,20522,Credit,43391.20,2024-01-01 13:13:59,UPI,SUCCESS,2026-09-10 11:37:02.169481
30023,23432,Credit,54838.30,2024-01-01 13:48:30,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30024,22976,Credit,78359.56,2024-01-01 14:41:50,ATM,SUCCESS,2026-09-10 11:37:02.169481
30025,24331,Debit,5821.09,2024-01-01 15:34:54,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30026,21491,Debit,81170.72,2024-01-01 15:45:26,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30027,22594,Debit,22930.59,2024-01-01 17:36:25,ATM,FAILED,2026-09-10 11:37:02.169481
30028,24139,Credit,25284.08,2024-01-01 17:52:23,UPI,SUCCESS,2026-09-10 11:37:02.169481
30029,24478,Debit,59986.70,2024-01-01 20:05:43,UPI,SUCCESS,2026-09-10 11:37:02.169481
30030,21157,Debit,97569.56,2024-01-01 21:17:18,ATM,SUCCESS,2026-09-10 11:37:02.169481
30031,24499,Debit,1838.19,2024-01-01 21:22:59,UPI,SUCCESS,2026-09-10 11:37:02.169481
30032,23442,Debit,67346.05,2024-01-01 22:49:20,ATM,FAILED,2026-09-10 11:37:02.169481
30033,24150,Credit,69720.03,2024-01-01 23:21:13,UPI,FAILED,2026-09-10 11:37:02.169481
30034,20654,Debit,57407.81,2024-01-01 23:40:51,POS,SUCCESS,2026-09-10 11:37:02.169481
30035,22609,Debit,1068.04,2024-01-02 00:22:08,POS,SUCCESS,2026-09-10 11:37:02.169481
30036,20159,Credit,60674.54,2024-01-02 00:33:34,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30037,20138,Debit,11590.63,2024-01-02 02:21:10,UPI,SUCCESS,2026-09-10 11:37:02.169481
30038,20533,Credit,7898.96,2024-01-02 04:02:13,POS,PENDING,2026-09-10 11:37:02.169481
30039,23374,Debit,69636.55,2024-01-02 04:55:56,ATM,SUCCESS,2026-09-10 11:37:02.169481
30040,20715,Credit,70053.43,2024-01-02 05:38:16,UPI,SUCCESS,2026-09-10 11:37:02.169481
30041,23691,Debit,89002.20,2024-01-02 06:58:12,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30042,23146,Debit,437.71,2024-01-02 11:01:13,ATM,SUCCESS,2026-09-10 11:37:02.169481
30043,22325,Debit,37938.11,2024-01-02 12:15:48,POS,SUCCESS,2026-09-10 11:37:02.169481
30044,20421,Debit,1325.97,2024-01-02 12:51:39,POS,FAILED,2026-09-10 11:37:02.169481
30045,23045,Credit,36529.79,2024-01-02 12:51:42,POS,SUCCESS,2026-09-10 11:37:02.169481
30046,22105,Debit,49216.63,2024-01-02 13:42:12,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30047,24165,Debit,53019.94,2024-01-02 13:56:40,RTGS,SUCCESS,2026-09-10 11:37:02.169481
30048,23270,Debit,35657.68,2024-01-02 14:02:49,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30049,21176,Credit,72557.61,2024-01-02 14:25:24,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30050,20720,Credit,41617.93,2024-01-02 15:17:23,ATM,SUCCESS,2026-09-10 11:37:02.169481
30051,24284,Credit,51760.94,2024-01-02 15:25:26,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30052,21687,Debit,80028.75,2024-01-02 15:34:34,ATM,SUCCESS,2026-09-10 11:37:02.169481
30053,23119,Credit,17512.85,2024-01-02 16:24:09,UPI,SUCCESS,2026-09-10 11:37:02.169481
30054,23572,Credit,32157.43,2024-01-02 20:12:15,RTGS,FAILED,2026-09-10 11:37:02.169481
30055,20180,Debit,52190.82,2024-01-02 21:05:52,POS,SUCCESS,2026-09-10 11:37:02.169481
30056,21773,Credit,76785.06,2024-01-02 21:26:34,ATM,SUCCESS,2026-09-10 11:37:02.169481
30057,20008,Credit,42593.01,2024-01-02 22:51:32,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30058,24256,Credit,7369.40,2024-01-02 23:25:47,UPI,SUCCESS,2026-09-10 11:37:02.169481
30059,22518,Credit,98884.17,2024-01-03 00:12:56,NEFT,FAILED,2026-09-10 11:37:02.169481
30060,24101,Debit,70820.28,2024-01-03 00:28:43,POS,SUCCESS,2026-09-10 11:37:02.169481
30061,22888,Credit,72301.24,2024-01-03 01:20:59,UPI,SUCCESS,2026-09-10 11:37:02.169481
30062,24477,Credit,46563.98,2024-01-03 01:43:08,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30063,22003,Credit,54749.30,2024-01-03 01:50:11,ATM,SUCCESS,2026-09-10 11:37:02.169481
30064,23756,Credit,99405.44,2024-01-03 02:57:57,NEFT,SUCCESS,2026-09-10 11:37:02.169481
30065,20973,Debit,59552.06,2024-01-03 03:32:59,RTGS,SUCCESS,2026-09-10 11:37:02.169481
